timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2020-03-10 00:00:00,203.03000000,203.88000000,200.78000000,203.25000000,1525.37719000,1583801999999,309611.99604070,868,309.24875000,62768.98692880,0
2020-03-10 01:00:00,203.69000000,204.72000000,200.70000000,201.27000000,376.28514000,1583805599999,76402.72925660,321,138.05584000,28031.69744330,0
2020-03-10 02:00:00,201.38000000,202.36000000,200.43000000,200.67000000,1343.26751000,1583809199999,270934.41631480,371,115.82409000,23378.60917310,0
2020-03-10 03:00:00,201.17000000,202.81000000,199.98000000,202.41000000,418.53475000,1583812799999,84164.75588400,216,291.24276000,58486.32732880,0
2020-03-10 04:00:00,202.50000000,203.64000000,201.80000000,203.16000000,439.90435000,1583816399999,89165.42555850,206,184.68497000,37476.56805790,0
2020-03-10 05:00:00,202.97000000,203.52000000,202.04000000,202.80000000,672.64655000,1583819999999,136598.23872520,283,522.75238000,106204.08126950,0
2020-03-10 06:00:00,202.80000000,203.10000000,200.12000000,200.47000000,1082.71856000,1583823599999,218297.34750010,572,328.64282000,66168.84985940,0
2020-03-10 07:00:00,200.36000000,200.45000000,197.25000000,198.91000000,955.53469000,1583827199999,190031.44481610,622,519.87951000,103455.67677880,0
2020-03-10 08:00:00,199.04000000,200.55000000,198.32000000,198.92000000,582.09708000,1583830799999,116111.31686660,534,384.16206000,76603.26058040,0
2020-03-10 09:00:00,198.88000000,199.28000000,197.70000000,198.37000000,481.49832000,1583834399999,95496.16905940,454,196.75909000,39035.05684820,0
2020-03-10 10:00:00,198.28000000,204.33000000,198.10000000,203.36000000,1086.34934000,1583837999999,219255.23100610,816,407.17800000,82054.86267820,0
2020-03-10 11:00:00,203.50000000,205.00000000,202.34000000,203.17000000,545.57569000,1583841599999,111082.17507890,678,239.73005000,48834.69654980,0
2020-03-10 12:00:00,203.30000000,206.24000000,203.10000000,205.61000000,506.14753000,1583845199999,103652.01737590,472,228.38883000,46761.27669180,0
2020-03-10 13:00:00,206.00000000,206.18000000,201.63000000,202.82000000,1006.21397000,1583848799999,205106.45808360,554,402.67109000,82204.11072530,0
2020-03-10 14:00:00,203.01000000,205.14000000,202.68000000,203.32000000,415.70059000,1583852399999,84682.55055970,305,302.34686000,61592.44810170,0
2020-03-10 15:00:00,203.20000000,203.24000000,196.14000000,196.70000000,1184.69810000,1583855999999,236095.50340340,678,639.55381000,127516.34985300,0
2020-03-10 16:00:00,196.50000000,199.95000000,195.61000000,199.38000000,710.96320000,1583859599999,141071.64474770,610,473.79504000,94055.17132590,0
2020-03-10 17:00:00,198.90000000,201.50000000,198.43000000,201.37000000,454.98676000,1583863199999,90969.45103180,480,285.75727000,57171.06885060,0
2020-03-10 18:00:00,200.99000000,200.99000000,198.50000000,199.28000000,433.88099000,1583866799999,86559.24359030,314,190.74926000,38035.56614500,0
2020-03-10 19:00:00,199.28000000,202.38000000,198.80000000,202.13000000,603.34156000,1583870399999,121033.95471510,384,317.49374000,63813.11989010,0
2020-03-10 20:00:00,202.34000000,204.00000000,201.02000000,203.00000000,1200.88848000,1583873999999,243745.98343930,664,704.43123000,143018.77944260,0
2020-03-10 21:00:00,203.03000000,203.65000000,201.62000000,202.52000000,431.36158000,1583877599999,87335.47666060,502,292.92055000,59337.65972740,0
2020-03-10 22:00:00,202.53000000,203.46000000,202.13000000,203.23000000,491.47874000,1583881199999,99671.90299790,381,245.04226000,49679.96170050,0
2020-03-10 23:00:00,202.78000000,202.98000000,200.00000000,200.63000000,604.93092000,1583884799999,121503.33074260,434,407.85580000,81873.22485890,0
2020-03-11 00:00:00,200.59000000,202.41000000,200.00000000,202.25000000,443.10925000,1583888399999,89223.51459980,190,173.90569000,34973.32616540,0
2020-03-11 01:00:00,202.53000000,203.13000000,201.32000000,202.45000000,694.62409000,1583891999999,140397.16974290,389,182.72762000,36883.85527730,0
2020-03-11 02:00:00,202.42000000,202.51000000,200.61000000,200.78000000,236.95399000,1583895599999,47706.42394790,176,54.59072000,10996.92373880,0
2020-03-11 03:00:00,200.78000000,202.01000000,200.30000000,201.71000000,366.23516000,1583899199999,73581.47290280,157,58.63815000,11793.59824870,0
2020-03-11 04:00:00,201.88000000,202.08000000,200.61000000,200.66000000,176.37018000,1583902799999,35536.17961470,110,38.39493000,7730.64211310,0
2020-03-11 05:00:00,200.56000000,200.79000000,198.45000000,199.22000000,707.33390000,1583906399999,141168.23853210,382,416.08731000,83165.46581330,0
2020-03-11 06:00:00,199.34000000,200.32000000,198.24000000,198.24000000,1080.15394000,1583909999999,215571.50953680,417,98.89737000,19738.84962240,0
2020-03-11 07:00:00,198.24000000,199.58000000,197.46000000,199.01000000,843.54192000,1583913599999,167604.53468110,345,127.46447000,25318.40683680,0
2020-03-11 08:00:00,198.87000000,200.85000000,198.00000000,198.31000000,1530.97146000,1583917199999,304887.87833890,490,212.09702000,42334.34335410,0
2020-03-11 09:00:00,198.46000000,198.75000000,196.73000000,197.36000000,2835.69498000,1583920799999,561207.53137680,686,1395.12093000,276214.99526660,0
2020-03-11 10:00:00,197.33000000,197.33000000,194.65000000,197.01000000,1913.45251000,1583924399999,375294.27467830,621,291.95250000,57282.52839440,0
2020-03-11 11:00:00,197.05000000,198.30000000,195.85000000,196.67000000,2070.73127000,1583927999999,408439.35237190,600,517.06832000,102063.69649140,0
2020-03-11 12:00:00,196.94000000,197.30000000,195.85000000,196.65000000,783.45704000,1583931599999,154110.36726950,379,156.02220000,30726.45288170,0
2020-03-11 13:00:00,196.60000000,198.60000000,196.57000000,196.98000000,977.20642000,1583935199999,193397.30696560,391,143.37642000,28382.07734190,0
2020-03-11 14:00:00,196.74000000,197.30000000,193.07000000,193.80000000,2160.09905000,1583938799999,421230.00305240,643,261.11375000,51095.62187620,0
2020-03-11 15:00:00,193.96000000,194.88000000,190.50000000,191.82000000,2031.96383000,1583942399999,390889.53114800,1195,539.96726000,103836.33314980,0
2020-03-11 16:00:00,191.89000000,193.91000000,191.08000000,192.05000000,3168.17311000,1583945999999,609618.09164940,1384,481.10789000,92502.72156820,0
2020-03-11 17:00:00,192.10000000,192.22000000,182.90000000,184.17000000,7221.95249000,1583949599999,1360671.59838300,2097,585.75683000,109542.62717890,0
2020-03-11 18:00:00,184.10000000,190.54000000,181.81000000,189.72000000,3779.70278000,1583953199999,698942.64439170,1563,1747.69230000,323006.14584990,0
2020-03-11 19:00:00,189.72000000,191.35000000,187.25000000,190.15000000,2378.03879000,1583956799999,449206.81956160,1247,804.94142000,151860.65199940,0
2020-03-11 20:00:00,190.15000000,193.15000000,189.94000000,192.76000000,1376.95674000,1583960399999,262917.19975390,706,893.05393000,170475.94088470,0
2020-03-11 21:00:00,192.85000000,193.89000000,189.09000000,189.50000000,367.60406000,1583963999999,70284.43302280,390,100.51687000,19270.07464700,0
2020-03-11 22:00:00,189.43000000,195.14000000,188.45000000,194.29000000,2854.22249000,1583967599999,548926.35382070,862,556.21523000,106800.43104670,0
2020-03-11 23:00:00,194.41000000,195.72000000,192.86000000,194.85000000,1319.03525000,1583971199999,256059.32859340,833,416.90689000,80925.41125760,0
2020-03-12 00:00:00,195.03000000,195.52000000,192.44000000,193.49000000,1448.47707000,1583974799999,280865.12725990,518,560.51219000,109162.48580940,0
2020-03-12 01:00:00,193.62000000,193.76000000,184.34000000,184.91000000,9311.42060000,1583978399999,1772771.35170990,2369,625.59696000,119104.22784530,0
2020-03-12 02:00:00,185.08000000,187.52000000,182.85000000,184.24000000,1020.26793000,1583981999999,188793.89535840,764,398.71283000,73858.09091170,0
2020-03-12 03:00:00,184.01000000,185.44000000,181.82000000,183.11000000,2883.98060000,1583985599999,529130.85786280,843,172.05346000,31671.72997920,0
2020-03-12 04:00:00,182.95000000,182.95000000,179.63000000,181.64000000,10436.83311000,1583989199999,1890533.77442950,3051,1620.76661000,293410.24442740,0
2020-03-12 05:00:00,181.69000000,182.00000000,180.10000000,181.58000000,2774.91881000,1583992799999,502612.75331980,738,1024.46098000,185393.63920450,0
2020-03-12 06:00:00,181.68000000,181.73000000,172.53000000,173.51000000,4352.62741000,1583996399999,767637.20028250,1914,1179.67690000,207652.40889970,0
2020-03-12 07:00:00,173.69000000,173.97000000,168.00000000,171.53000000,2631.42411000,1583999999999,451027.01900410,1700,931.45420000,159787.29844680,0
2020-03-12 08:00:00,171.67000000,172.13000000,166.40000000,169.23000000,3190.87164000,1584003599999,540876.79462560,1232,1723.08325000,290909.08871340,0
2020-03-12 09:00:00,169.12000000,170.00000000,167.35000000,167.80000000,2174.92182000,1584007199999,367079.15716490,1146,1310.07834000,221386.84279630,0
2020-03-12 10:00:00,167.88000000,168.41000000,118.75000000,133.92000000,14650.49751000,1584010799999,2096226.20579900,6439,9055.77687000,1280313.77418510,0
2020-03-12 11:00:00,133.23000000,149.11000000,123.02000000,135.46000000,23826.13940000,1584014399999,3230947.53320910,11532,16214.34372000,2193709.04505140,0
2020-03-12 12:00:00,135.46000000,141.79000000,133.79000000,136.15000000,17942.17378000,1584017999999,2472864.40682260,9000,14202.67141000,1957829.13820620,0
2020-03-12 13:00:00,136.35000000,138.71000000,126.73000000,134.77000000,9400.73052000,1584021599999,1240603.03609870,6462,5483.33036000,725812.19758530,0
2020-03-12 14:00:00,134.77000000,142.68000000,133.80000000,139.86000000,4425.48604000,1584025199999,607613.18188440,3904,2418.34249000,332695.55706450,0
